# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = logistic_model
# start_datetime = 2025-05-10 18:46:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data.json
# init = 0
# random
#   seed = 17271
# output
#   file = /home/daniel-hartman/Documents/OPEN_projects/Bayes_LC50/runfiles/logistic-20250510144606.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=logistic.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,beta.1,beta.2,beta.3,beta.4
# Adaptation terminated
# Step size = 0.380237
# Diagonal elements of inverse mass matrix:
# 0.000252283, 0.412938, 1.27493e-05, 1.37146e-05, 1.33848e-05, 4.1085e-05
-1049.73,0.812214,0.380237,2,3,0,1050.49,0.0140514,0.10733,0.00736166,0.0274444,0.0219996,0.0425881
-1051.24,0.998844,0.380237,3,15,0,1053.2,-0.0134391,0.201554,0.00249814,0.0216643,0.0243528,0.039696
-1047.88,0.911604,0.380237,3,15,0,1054.5,-0.0205102,0.068635,0.00580578,0.0244717,0.0267288,0.0334885
-1046.19,0.927044,0.380237,2,3,0,1049.63,-0.0165138,0.0691536,0.00386195,0.0230807,0.0230588,0.0357842
-1049.24,0.938179,0.380237,3,7,0,1049.9,-0.0369753,0.0614448,0.00632117,0.0262184,0.0219717,0.0247906
-1051.03,0.761469,0.380237,4,15,0,1055.44,0.0614415,0.171606,0.0066299,0.0208422,0.0214249,0.0393674
-1045.92,0.858527,0.380237,3,7,0,1052.79,0.0196635,0.0340089,0.00374752,0.0280744,0.0249955,0.0310306
-1049.17,0.85077,0.380237,2,7,0,1054.96,-0.00178533,0.0641199,0.00610293,0.025885,0.0273043,0.0427781
-1045.75,0.995128,0.380237,3,7,0,1049.58,-0.00249186,0.0588974,0.00387972,0.02402,0.0217055,0.0382515
-1044.33,0.977597,0.380237,3,7,0,1047.15,0.00185656,0.0183702,0.00617694,0.024602,0.02338,0.0340192
-1045.86,0.922228,0.380237,3,7,0,1047.3,0.0217155,0.0308555,0.00726734,0.0255687,0.0266427,0.033585
-1043.58,0.809212,0.380237,2,7,0,1048.51,0.0247383,0.0106603,0.0054525,0.0220536,0.0254891,0.0375587
-1044.72,0.852708,0.380237,2,3,0,1046.51,0.0254729,0.0153061,0.0052821,0.0260703,0.0194408,0.0388636
-1046.18,0.752791,0.380237,3,7,0,1049.26,0.0246664,0.0272376,0.00845567,0.0243902,0.0205184,0.0379635
-1044.33,0.950764,0.380237,3,7,0,1048.35,0.0054368,0.0192575,0.0066356,0.0255718,0.022572,0.0369504
-1043.01,0.96892,0.380237,3,7,0,1046.43,0.0297548,0.0149079,0.00600402,0.0265875,0.0221625,0.0311201
-1043.43,0.806456,0.380237,2,7,0,1047.25,0.0178766,0.0204084,0.00489955,0.0256415,0.0220215,0.0419799
-1041.94,0.955716,0.380237,3,7,0,1044.42,0.0242672,0.0106436,0.00696091,0.0247257,0.022936,0.030271
-1045.24,0.504222,0.380237,2,3,0,1047.18,0.0114063,0.0135903,0.00764287,0.0272458,0.021592,0.0304639
-1046.76,0.851008,0.380237,3,7,0,1049.66,0.0131932,0.0123908,0.00898373,0.0269393,0.0250101,0.0306975
-1044.53,1,0.380237,3,7,0,1046.92,0.00992257,0.0242722,0.00805292,0.0240341,0.0230607,0.0332782
-1045.75,0.905784,0.380237,3,7,0,1049.15,0.0103463,0.0125955,0.00640491,0.0234806,0.0267182,0.0353983
-1045.45,0.716644,0.380237,2,7,0,1049.4,0.0430498,0.0260661,0.00537179,0.0245128,0.0215389,0.0266528
-1045.45,0.286846,0.380237,3,7,0,1051.82,0.0430498,0.0260661,0.00537179,0.0245128,0.0215389,0.0266528
-1042.52,0.843058,0.380237,4,15,0,1048.5,0.0197372,0.0117732,0.00620715,0.0228631,0.025079,0.0349573
-1049.7,0.544798,0.380237,3,7,0,1050.28,0.0262649,0.0256769,3.0561e-05,0.0250522,0.0198258,0.0324556
-1046.36,1,0.380237,2,3,0,1051.49,0.0268825,0.0289673,0.00835584,0.024614,0.0241738,0.0259685
-1046.25,0.574535,0.380237,2,7,0,1050.11,0.0266177,0.0566463,0.00411922,0.0212557,0.0221676,0.0342067
-1043.61,0.978244,0.380237,3,7,0,1050.35,0.013217,0.0116774,0.00416273,0.027183,0.0232964,0.0300139
